FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
12705,12809,(11#)11/2,12706,189.919,12705,675.065,12809,2.669301,12705,9.49020546,12757,288.863089,4.047845923,12713,2.092252
12810,12914,(7#)61,12812,191.196,12810,621.923,12893,2.669278,12810,8.68589138,12862,290.422009,4.043440335,12821,2.095327
12915,13019,(7#)123/2,12917,192.367,12915,631.234,13009,2.669246,12915,8.76004135,12967,291.953188,4.038793546,12917,2.098024
13020,13124,(7#)62,13033,193.726,13020,640.801,13121,2.669216,13020,8.83549953,13072,294.498558,4.048156787,13033,2.101235
13125,13229,(7#)125/2,13127,194.827,13125,623.321,13229,2.669187,13125,8.54083659,13177,295.934581,4.042286189,13127,2.103810
13230,13334,(7#)63,13238,196.153,13230,627.296,13313,2.669165,13230,8.54078060,13282,297.698596,4.040982797,13241,2.106873
13335,13439,(7#)127/2,13337,197.278,13335,636.219,13421,2.669136,13335,8.60902333,13387,299.580216,4.041339979,13337,2.109423
13440,13544,(7#)64,13441,198.490,13440,635.134,13537,2.669106,13440,8.54064264,13492,301.646443,4.044177105,13441,2.112151
13545,13649,(7#)129/2,13553,199.792,13545,654.576,13649,2.669077,13545,8.74880666,13597,302.817886,4.035128470,13553,2.115048
13650,13754,(7#)65,13654,200.996,13650,701.393,13729,2.669057,13650,9.31685234,13702,305.849984,4.050834638,13654,2.117868
13755,13859,(7#)131/2,13757,202.161,13755,651.809,13841,2.669028,13755,8.60657266,13807,306.877191,4.039976614,13757,2.120219
13860,13964,(11#)6,13873,203.504,13860,723.041,13933,2.669005,13860,9.48923923,13912,309.066616,4.044511325,13873,2.123101
13965,14069,(7#)133/2,13967,204.592,13965,693.077,14057,2.668974,13965,9.04254294,14017,310.858527,4.043849125,13967,2.125413
14070,14174,(7#)67,14071,205.794,14070,668.634,14173,2.668946,14070,8.67151434,14122,312.522987,4.041575229,14071,2.127933
14175,14279,(7#)135/2,14177,207.016,14175,662.333,14249,2.668927,14175,8.54005095,14227,314.399721,4.042103259,14177,2.130460
