START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio
(11#)92,212644,2.547725,213659,1.793807,3.508606e-01,0.322666,2.336528e+00
(11#)185/2,213784,2.541986,214817,1.797173,3.467308e-01,0.322977,2.306087e+00
(11#)93,215854,2.563496,215983,1.800446,3.533375e-01,0.323292,2.360250e+00
(11#)187/2,216917,2.525146,217121,1.803777,3.364161e-01,0.323614,2.229103e+00
(11#)94,217697,2.481485,218287,1.806996,3.171914e-01,0.323932,2.082193e+00
(11#)189/2,219311,2.546183,219437,1.810271,3.411188e-01,0.324260,2.269512e+00
(11#)95,220453,2.532386,220589,1.813387,3.339656e-01,0.324584,2.215140e+00
(11#)191/2,221332,2.526687,221747,1.816566,3.299611e-01,0.324917,2.185546e+00
(11#)96,222634,2.538822,222913,1.819695,3.330313e-01,0.325249,2.211004e+00
(11#)193/2,223469,2.547178,224069,1.822786,3.346200e-01,0.325587,2.224880e+00
(11#)97,225002,2.551522,225223,1.825851,3.346439e-01,0.325926,2.226490e+00
(13#)15/2,225892,2.548480,226379,1.828898,3.317835e-01,0.326269,2.205487e+00
(11#)98,227251,2.549104,227533,1.831913,3.303811e-01,0.326615,2.195830e+00
(11#)197/2,228097,2.525164,228677,1.834905,3.193133e-01,0.326964,2.111116e+00
(11#)99,229234,2.519971,229841,1.837905,3.156211e-01,0.327316,2.083815e+00
(11#)199/2,230848,2.518411,230999,1.840803,3.134263e-01,0.327671,2.067952e+00
(11#)100,231643,2.524351,232153,1.843711,3.142036e-01,0.328028,2.074945e+00
(11#)201/2,232189,2.532524,233297,1.846632,3.158530e-01,0.328393,2.088632e+00
(11#)101,233978,2.534564,234463,1.849475,3.151198e-01,0.328753,2.083902e+00
(11#)203/2,235028,2.506846,235607,1.852289,3.026032e-01,0.329118,1.988822e+00
(11#)102,236092,2.538865,236773,1.855096,3.137807e-01,0.329486,2.075260e+00
(11#)205/2,237883,2.566648,237929,1.857887,3.231609e-01,0.329859,2.148679e+00
(11#)103,238892,2.539570,239081,1.860661,3.110630e-01,0.330233,2.055848e+00
(11#)207/2,239857,2.497741,240209,1.863378,2.929958e-01,0.330609,1.918771e+00
(13#)8,241393,2.514952,241393,1.866105,2.984003e-01,0.330988,1.960334e+00
(11#)209/2,242119,2.534017,242533,1.868837,3.044895e-01,0.331378,2.007315e+00
(11#)105,243043,2.536059,243703,1.871445,3.039004e-01,0.331755,2.003328e+00
(11#)211/2,243736,2.522425,244859,1.874092,2.970965e-01,0.332142,1.951975e+00
(11#)106,245587,2.544113,246011,1.876712,3.042608e-01,0.332532,2.007028e+00
(11#)213/2,246518,2.561050,247141,1.879314,3.095105e-01,0.332924,2.047723e+00
(11#)107,247868,2.534405,248323,1.881916,2.976685e-01,0.333323,1.957528e+00
(11#)215/2,248867,2.548208,249463,1.884496,3.017300e-01,0.333722,1.988817e+00
(11#)108,249512,2.527815,250619,1.887018,2.923575e-01,0.334122,1.917853e+00
(11#)217/2,251081,2.534266,251789,1.889512,2.935855e-01,0.334521,1.927395e+00
(11#)109,252071,2.523456,252937,1.891991,2.879997e-01,0.334923,1.885404e+00
(11#)219/2,253741,2.514393,254083,1.894472,2.830913e-01,0.335332,1.848678e+00
(11#)110,255214,2.528919,255253,1.896935,2.875525e-01,0.335741,1.882356e+00
(17#)/2,259801,2.503359,262144,1.899360,2.761164e-01,0.336153,1.796798e+00
(13#)9,272794,2.510783,285283,1.929301,2.634369e-01,0.341718,1.701643e+00
(13#)19/2,285424,2.505523,300299,1.956421,2.473807e-01,0.347652,1.579459e+00
(13#)10,303904,2.513081,315313,1.981105,2.378547e-01,0.348927,1.524605e+00
(13#)21/2,324223,2.512902,330329,2.003717,2.264343e-01,0.336519,1.513094e+00
(13#)11,340261,2.521429,345329,2.024416,2.195445e-01,0.325157,1.528532e+00
(13#)23/2,354971,2.521369,360337,2.043544,2.101165e-01,0.314669,1.518500e+00
(13#)12,366794,2.499164,375373,2.061234,1.926514e-01,0.304967,1.435991e+00
(13#)25/2,386068,2.523716,390389,2.077661,1.944897e-01,0.295958,1.507156e+00
(13#)13,401509,2.524416,405401,2.092933,1.874433e-01,0.287587,1.500356e+00
(13#)27/2,414448,2.520611,420419,2.107207,1.791380e-01,0.279766,1.477678e+00
(13#)14,431146,2.523703,435427,2.120565,1.740447e-01,0.272449,1.479682e+00
(13#)29/2,448444,2.521152,450431,2.133099,1.671401e-01,0.265584,1.461131e+00
(13#)15,463549,2.513127,465463,2.144881,1.584437e-01,0.259132,1.421075e+00
(13#)31/2,467009,2.541140,480463,2.155986,1.643646e-01,0.253052,1.522035e+00
