FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
15060045,15315299,(17#)59/2,15063856,72386,15060045,308492,15201136,2.622150,15060045,11.19089765,15187136,111698.356969,4.022043480
15315300,15570554,(17#)30,15318208,73544,15315300,307492,15512572,2.621195,15315300,10.99103026,15442400,113350.436395,4.022163693
15570555,15825809,(17#)61/2,15580924,74442,15570555,317368,15580924,2.620941,15570555,11.18037899,15697663,114998.550469,4.022250444
15825810,16081064,(17#)31,15845446,75738,15825810,326624,15903079,2.620396,15825810,11.34310671,15952926,116628.878235,4.021822621
16081065,16336319,(17#)63/2,16105231,76748,16231215,324842,16105231,2.624621,16231215,11.03304430,16208190,118288.116918,4.022490515
16336320,16591574,(17#)32,16355539,77882,16546530,338502,16453264,2.623584,16546530,11.30406125,16463452,119929.629273,4.022644572
16591575,16846829,(17#)65/2,16618577,78690,16831815,337504,16618577,2.617779,16831815,11.10250632,16718715,121553.813692,4.022315114
16846830,17102084,(17#)33,16847708,79868,16846830,334568,17086924,2.622329,16846830,10.99729261,16973977,123168.479262,4.021773480
17102085,17357339,(17#)67/2,17157347,80860,17160990,344724,17157347,2.615508,17160990,11.14840354,17229239,124790.375413,4.021567086
17357340,17612594,(17#)34,17368672,82224,17402385,346358,17438299,2.625902,17402385,11.06440369,17484501,126409.229853,4.021356858
17612595,17867849,(17#)69/2,17658233,83300,17612595,363626,17754362,2.624263,17612595,11.49392771,17739763,128046.222530,4.021802576
17867850,18123104,(17#)35,17939156,84088,17867850,351910,17939156,2.615320,17867850,10.98360569,17995024,129672.363260,4.021981470
18123105,18378359,(17#)71/2,18124607,85368,18123105,361388,18252083,2.624696,18123105,11.13946369,18250286,131294.547978,4.022116019
18378360,18633614,(17#)36,18385676,86334,18543525,361322,18564664,2.625098,18378360,10.99260684,18505547,132907.329275,4.022037466
18633615,18888869,(17#)73/2,18652631,87318,18633615,370580,18652631,2.624112,18633615,11.14680939,18760808,134522.210887,4.022096899
18888870,19144124,(17#)37,18900619,88458,18888870,379690,18955823,2.626048,18888870,11.28481709,19016069,136144.866279,4.022457444
19144125,19399379,(17#)75/2,19168577,89622,19144125,374148,19271158,2.619062,19144125,10.98942296,19271329,137735.371460,4.021941672
19399380,19654634,(19#)2,19443122,90492,19399380,400846,19443122,2.621885,19399380,11.63703982,19526590,139331.686416,4.021672456
19654635,19909889,(17#)77/2,19659649,91702,19684665,398928,19708879,2.625817,19684665,11.43338033,19781850,140938.566618,4.021777668
19909890,20165144,(17#)39,19961353,92756,20030010,396644,19998859,2.625370,20030010,11.19507034,20037111,142579.361924,4.022901821
