START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
(7#)53/2,5596,2.182571,5669,2.672620,5565,8.44836872,5565,8.71878830,5617,3.935195933,4.050185810,1.886250,1.886250,0.272758
(7#)27,5728,2.248387,5749,2.672555,5670,8.27370483,5670,8.55087561,5722,3.886062230,4.043183971,1.886538,1.886538,0.282305
(11#)5/2,5857,2.159168,5879,2.672429,5775,9.30254452,5775,9.50061339,5827,3.949550146,4.049529602,1.886433,1.886433,0.273701
(7#)28,5906,2.349289,5981,2.672375,5880,8.40421431,5880,8.55032099,5932,3.965006529,4.048103927,1.884912,1.884912,0.281840
(7#)57/2,6038,2.309643,6089,2.672295,5985,8.99970987,5985,9.05311257,6037,3.969178330,4.043884225,1.884410,1.884410,0.284310
(7#)29,6131,2.233345,6173,2.672233,6090,8.52931444,6090,8.86660386,6142,3.971519167,4.048588551,1.882874,1.882874,0.280844
(7#)59/2,6218,2.356115,6299,2.672121,6195,8.61597314,6195,8.69963656,6247,4.002366231,4.046154087,1.881412,1.881412,0.276413
(7#)30,6353,2.124621,6397,2.672075,6300,8.26068737,6300,8.54943114,6352,4.044700161,4.049599941,1.881142,1.881142,0.273232
(7#)61/2,6421,2.298798,6469,2.672025,6405,8.78106455,6405,8.69418887,6457,4.017797383,4.042110990,1.880517,1.880517,0.272977
(7#)31,6568,2.399779,6607,2.671912,6510,8.48065427,6510,8.84387731,6562,4.059555183,4.051085816,1.879392,1.879392,0.265382
(7#)63/2,6719,2.265862,6719,2.671839,6615,8.51815935,6615,8.54880788,6667,4.043817526,4.043685497,1.877211,1.877211,0.261107
(7#)32,6791,2.430712,6823,2.671772,6765,7.91178535,6720,8.54861281,6772,3.992504559,4.044179549,1.875133,1.875133,0.255092
(7#)65/2,6863,2.365471,6917,2.671733,6825,9.18281598,6825,9.32561359,6877,4.055639365,4.046031080,1.877285,1.877285,0.261582
(11#)3,7024,2.323062,7027,2.671646,6930,9.57022794,6930,9.49810045,6982,4.034484259,4.050991422,1.873817,1.873817,0.250395
(7#)67/2,7108,2.390305,7129,2.671604,7035,8.65754455,7035,8.67954514,7087,4.008335516,4.048563044,1.871753,1.871753,0.245055
