n,C(n),Cminus(n),C(n)-Cminus(n),CminusAsym(n),C(n)-CminusAsym(n),preMertens,preMertensAsymp,alpha(n)
3464267,2.603425,2.131561,0.471864,2.140514,0.462911,5416,7219,0.500000000000
3479059,2.604518,2.131832,0.472686,2.140530,0.463988,5416,7219,0.500000000000
3484846,2.614571,2.132302,0.482269,2.140536,0.474035,5416,7219,0.500000000000
3489916,2.613878,2.130639,0.483239,2.140542,0.473336,5416,7219,0.500000000000
3500176,2.611383,2.131469,0.479914,2.140553,0.470831,5416,7219,0.500000000000
3502439,2.610699,2.130512,0.480187,2.140555,0.470144,5416,7219,0.500000000000
3515401,2.612171,2.129488,0.482683,2.140569,0.471602,5416,7219,0.500000000000
3539002,2.606307,2.128182,0.478125,2.140594,0.465713,5416,7219,0.500000000000
3553097,2.606045,2.129304,0.476741,2.140608,0.465437,5416,7219,0.500000000000
3561149,2.602978,2.128099,0.474880,2.140617,0.462361,5416,7219,0.500000000000
3576721,2.610207,2.128202,0.482005,2.140633,0.469574,5416,7219,0.500000000000
3591949,2.611007,2.129400,0.481607,2.140649,0.470358,5416,7219,0.500000000000
3616831,2.603235,2.130227,0.473008,2.140674,0.462561,5416,7219,0.500000000000
3633412,2.606239,2.130604,0.475635,2.140691,0.465547,5416,7219,0.500000000000
3644584,2.609578,2.130351,0.479226,2.140703,0.468875,5416,7219,0.500000000000
3658834,2.606500,2.129630,0.476870,2.140717,0.465783,5416,7219,0.500000000000
3675767,2.603042,2.128909,0.474133,2.140734,0.462308,5416,7219,0.500000000000
3682709,2.606978,2.129440,0.477537,2.140741,0.466236,5416,7219,0.500000000000
3704819,2.596930,2.129316,0.467614,2.140763,0.456166,5416,7219,0.500000000000
3722221,2.602626,2.130635,0.471991,2.140781,0.461845,5416,7219,0.500000000000
3735406,2.608630,2.130527,0.478103,2.140794,0.467836,5416,7219,0.500000000000
3753443,2.600434,2.129881,0.470553,2.140811,0.459623,5416,7219,0.500000000000
3760034,2.593551,2.130375,0.463176,2.140818,0.452733,5416,7219,0.500000000000
3783313,2.604192,2.130319,0.473873,2.140841,0.463352,5416,7219,0.500000000000
3797879,2.598422,2.130506,0.467916,2.140855,0.457567,5416,7219,0.500000000000
3801443,2.606210,2.129676,0.476535,2.140858,0.465352,5416,7219,0.500000000000
3822034,2.613491,2.128319,0.485171,2.140878,0.472612,5416,7219,0.500000000000
3834151,2.598408,2.129208,0.469200,2.140890,0.457519,5416,7219,0.500000000000
3853924,2.606403,2.129765,0.476638,2.140909,0.465494,5416,7219,0.500000000000
3858931,2.597507,2.130130,0.467377,2.140914,0.456594,5416,7219,0.500000000000
3883478,2.594628,2.131027,0.463601,2.140937,0.453691,5416,7219,0.500000000000
3891541,2.606291,2.131610,0.474682,2.140944,0.465347,5416,7219,0.500000000000
3912628,2.602100,2.131164,0.470936,2.140964,0.461136,5416,7219,0.500000000000
3927556,2.600320,2.130275,0.470044,2.140978,0.459341,5416,7219,0.500000000000
3936293,2.599760,2.130899,0.468862,2.140986,0.458774,5416,7219,0.500000000000
3961283,2.606488,2.130727,0.475762,2.141010,0.465479,5416,7219,0.500000000000
3969584,2.609431,2.131314,0.478117,2.141017,0.468414,5416,7219,0.500000000000
3974746,2.609044,2.129735,0.479309,2.141022,0.468022,5416,7219,0.500000000000
3992123,2.608902,2.129020,0.479882,2.141038,0.467864,5416,7219,0.500000000000
3996758,2.606043,2.128279,0.477764,2.141042,0.465000,5416,7219,0.500000000000
4015034,2.596429,2.128493,0.467936,2.141059,0.455370,5416,7219,0.500000000000
4034477,2.610102,2.128979,0.481123,2.141077,0.469025,5416,7219,0.500000000000
4043132,2.609140,2.129579,0.479561,2.141084,0.468056,5416,7219,0.500000000000
4047991,2.608708,2.128856,0.479852,2.141089,0.467619,5416,7219,0.500000000000
4060838,2.605187,2.128879,0.476308,2.141100,0.464086,5416,7219,0.500000000000
4069376,2.607269,2.128410,0.478858,2.141108,0.466160,5416,7219,0.500000000000
4087942,2.607185,2.128822,0.478362,2.141125,0.466060,5416,7219,0.500000000000
4099112,2.611193,2.128725,0.482468,2.141135,0.470058,5416,7219,0.500000000000
4115572,2.602570,2.128795,0.473775,2.141149,0.461420,5416,7219,0.500000000000
4131313,2.600695,2.128812,0.471883,2.141163,0.459532,5416,7219,0.500000000000
4154263,2.606322,2.130360,0.475962,2.141183,0.465139,5416,7219,0.500000000000
4161457,2.607097,2.129799,0.477298,2.141190,0.465907,5416,7219,0.500000000000
4186967,2.607727,2.130655,0.477072,2.141212,0.466516,5416,7219,0.500000000000
4197376,2.593242,2.131349,0.461893,2.141221,0.452021,5416,7219,0.500000000000
4208627,2.613973,2.132097,0.481875,2.141231,0.472742,5416,7219,0.500000000000
4222718,2.607053,2.131992,0.475060,2.141243,0.465810,5416,7219,0.500000000000
4242659,2.608260,2.132463,0.475797,2.141260,0.467000,5416,7219,0.500000000000
4254164,2.607386,2.133220,0.474166,2.141270,0.466116,5416,7219,0.500000000000
4270639,2.603665,2.133265,0.470399,2.141284,0.462381,5416,7219,0.500000000000
4280083,2.607170,2.133039,0.474130,2.141292,0.465878,5416,7219,0.500000000000
4298422,2.609440,2.132361,0.477078,2.141307,0.468132,5416,7219,0.500000000000
4323628,2.609173,2.133155,0.476018,2.141328,0.467845,5416,7219,0.500000000000
4333132,2.610882,2.131905,0.478977,2.141336,0.469545,5416,7219,0.500000000000
4337987,2.610927,2.132217,0.478709,2.141340,0.469586,5416,7219,0.500000000000
4342687,2.606964,2.130659,0.476305,2.141344,0.465620,5416,7219,0.500000000000
4354381,2.614402,2.131409,0.482993,2.141354,0.473048,5416,7219,0.500000000000
4372499,2.601775,2.129691,0.472085,2.141369,0.460406,5416,7219,0.500000000000
4392541,2.607219,2.130965,0.476254,2.141386,0.465833,5416,7219,0.500000000000
4400353,2.604258,2.131460,0.472798,2.141392,0.462866,5416,7219,0.500000000000
4416868,2.603212,2.131487,0.471724,2.141406,0.461806,5416,7219,0.500000000000
4441462,2.609455,2.132207,0.477248,2.141426,0.468030,5416,7219,0.500000000000
4447771,2.609820,2.132603,0.477218,2.141431,0.468390,5416,7219,0.500000000000
4469884,2.605726,2.131964,0.473763,2.141449,0.464277,5416,7219,0.500000000000
