START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(17#)41,21107407,2.622493,21186149,2.643064,-7.813458e-03,0.012744,-1.614171e+00,OUTLIER
(17#)83/2,21411154,2.624482,21441383,2.643145,-7.085953e-03,0.012651,-1.475219e+00,OUTLIER
(17#)42,21448858,2.626527,21696629,2.643225,-6.337321e-03,0.012560,-1.329459e+00,OUTLIER
(17#)85/2,21902344,2.627307,21951929,2.643302,-6.069526e-03,0.012471,-1.282576e+00,OUTLIER
(17#)43,22109926,2.625829,22207153,2.643378,-6.660989e-03,0.012384,-1.417070e+00,OUTLIER
(17#)87/2,22446616,2.626041,22462411,2.643453,-6.608628e-03,0.012298,-1.415840e+00,OUTLIER
(17#)44,22683424,2.626940,22717687,2.643525,-6.293583e-03,0.012215,-1.357757e+00,OUTLIER
(17#)89/2,22916389,2.628539,22972931,2.643596,-5.711933e-03,0.012133,-1.240996e+00,OUTLIER
(17#)45,23227639,2.627468,23228143,2.643666,-6.145945e-03,0.012053,-1.343898e+00,OUTLIER
(17#)91/2,23248021,2.624545,23483459,2.643734,-7.284764e-03,0.011974,-1.602556e+00,OUTLIER
(17#)46,23613664,2.628503,23738711,2.643801,-5.803172e-03,0.011897,-1.285870e+00,OUTLIER
(17#)93/2,23763461,2.627766,23993911,2.643866,-6.108184e-03,0.011822,-1.361868e+00,OUTLIER
(17#)47,24170554,2.626512,24249217,2.643930,-6.609716e-03,0.011748,-1.482635e+00,OUTLIER
(19#)5/2,24496594,2.621733,24504479,2.643992,-8.454347e-03,0.011675,-1.906552e+00,OUTLIER
(17#)48,24691036,2.622891,24759733,2.644054,-8.036201e-03,0.011604,-1.823768e+00,OUTLIER
(17#)97/2,24916354,2.626999,25014989,2.644114,-6.493908e-03,0.011534,-1.483874e+00,OUTLIER
(17#)49,25251022,2.623810,25270243,2.644173,-7.730891e-03,0.011466,-1.775946e+00,OUTLIER
(17#)99/2,25283017,2.628372,25525477,2.644230,-6.015264e-03,0.011398,-1.391297e+00,OUTLIER
(17#)50,25696939,2.623817,25780709,2.644287,-7.771336e-03,0.011332,-1.806389e+00,OUTLIER
(17#)101/2,25801309,2.627088,26036009,2.644343,-6.546633e-03,0.011268,-1.531328e+00,OUTLIER
(17#)51,26141191,2.629090,26291263,2.644397,-5.805283e-03,0.011204,-1.366208e+00,OUTLIER
(17#)103/2,26306708,2.628417,26546491,2.644450,-6.081340e-03,0.011141,-1.439099e+00,OUTLIER
(17#)52,26617804,2.631407,26801767,2.644503,-4.964462e-03,0.011080,-1.181949e+00,OUTLIER
(17#)105/2,27035497,2.629789,27057011,2.644554,-5.598816e-03,0.011019,-1.339958e+00,OUTLIER
(17#)53,27158464,2.629023,27312283,2.644605,-5.909422e-03,0.010960,-1.421715e+00,OUTLIER
(17#)107/2,27501673,2.628960,27567511,2.644655,-5.952291e-03,0.010902,-1.439644e+00,OUTLIER
(17#)54,27760763,2.629751,27822793,2.644703,-5.669607e-03,0.010845,-1.378700e+00,OUTLIER
(17#)109/2,27980503,2.628691,28078031,2.644751,-6.090917e-03,0.010788,-1.488691e+00,OUTLIER
