START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(11#)35/2,40597,2.307754,41579,2.263139,1.952197e-02,0.617363,7.226705e-02,EXPECTED
(11#)18,41851,2.392174,42727,2.266540,5.394814e-02,0.615561,2.040968e-01,EXPECTED
(11#)37/2,43531,2.348344,43889,2.270834,3.356323e-02,0.612920,1.264602e-01,EXPECTED
(11#)19,44533,2.418503,45013,2.273618,6.177636e-02,0.610895,2.371684e-01,EXPECTED
(13#)3/2,45259,2.407217,46199,2.277230,5.551152e-02,0.608910,2.134749e-01,EXPECTED
(11#)20,46369,2.380141,47353,2.280464,4.278080e-02,0.607032,1.642039e-01,EXPECTED
(11#)41/2,47834,2.378831,48497,2.283189,4.103604e-02,0.605626,1.579225e-01,EXPECTED
(11#)21,48931,2.430664,49663,2.287474,6.071632e-02,0.604148,2.370115e-01,EXPECTED
(11#)43/2,50461,2.416903,50789,2.289123,5.431819e-02,0.602865,2.119546e-01,EXPECTED
(11#)22,51826,2.346624,51973,2.292047,2.353239e-02,0.601487,9.073679e-02,EXPECTED
(11#)45/2,52876,2.469593,53129,2.294934,7.334927e-02,0.600364,2.909218e-01,EXPECTED
(11#)23,53624,2.388364,54277,2.298733,3.825051e-02,0.599626,1.494782e-01,EXPECTED
(11#)47/2,54421,2.447211,55439,2.300173,6.196467e-02,0.598866,2.455274e-01,EXPECTED
(11#)24,56176,2.444148,56591,2.302027,5.990656e-02,0.598227,2.375704e-01,EXPECTED
(11#)49/2,57172,2.426083,57737,2.303963,5.164734e-02,0.597634,2.043391e-01,EXPECTED
(11#)25,58789,2.355012,58901,2.306180,2.095335e-02,0.597133,8.177743e-02,EXPECTED
(11#)51/2,59074,2.411060,60041,2.308269,4.356859e-02,0.596724,1.722589e-01,EXPECTED
(13#)2,61058,2.418361,61211,2.310168,4.576979e-02,0.596482,1.813852e-01,EXPECTED
(11#)53/2,61444,2.421746,62351,2.311445,4.661590e-02,0.596360,1.849571e-01,EXPECTED
(11#)27,63421,2.436905,63521,2.313830,5.182463e-02,0.596247,2.064161e-01,EXPECTED
(11#)55/2,64198,2.443219,64679,2.315363,5.374995e-02,0.596257,2.144310e-01,EXPECTED
(11#)28,65336,2.468498,65536,2.317479,6.312991e-02,0.596332,2.532465e-01,EXPECTED
(11#)57/2,66602,2.429966,66977,2.318876,4.679468e-02,0.596494,1.862383e-01,EXPECTED
(11#)29,67904,2.413565,68141,2.319665,3.968213e-02,0.596657,1.573769e-01,EXPECTED
(11#)59/2,69239,2.447118,69263,2.320982,5.292063e-02,0.596947,2.113018e-01,EXPECTED
(11#)30,69911,2.449157,70451,2.322580,5.306525e-02,0.597240,2.119366e-01,EXPECTED
(11#)61/2,70544,2.431070,71597,2.323754,4.514751e-02,0.597638,1.795669e-01,EXPECTED
(11#)31,71633,2.358847,72763,2.325481,1.424604e-02,0.598363,5.576214e-02,EXPECTED
(11#)63/2,73016,2.438849,73907,2.327241,4.684276e-02,0.598692,1.864197e-01,EXPECTED
(11#)32,74716,2.474061,75041,2.327845,6.091798e-02,0.599622,2.438470e-01,EXPECTED
(13#)5/2,75968,2.467098,76213,2.329443,5.741338e-02,0.600147,2.293688e-01,EXPECTED
(11#)33,77144,2.383605,77383,2.329744,2.285566e-02,0.600791,8.965014e-02,EXPECTED
(11#)67/2,78427,2.494035,78539,2.331148,6.754103e-02,0.601387,2.708522e-01,EXPECTED
(11#)34,79312,2.406904,79693,2.332448,3.142291e-02,0.602064,1.236679e-01,EXPECTED
(11#)69/2,79784,2.452666,80849,2.332802,5.010548e-02,0.603045,1.987646e-01,EXPECTED
(11#)35,81749,2.460417,82003,2.333901,5.278973e-02,0.603803,2.095319e-01,EXPECTED
(11#)71/2,82252,2.460452,83137,2.334513,5.254177e-02,0.605062,2.081423e-01,EXPECTED
(11#)36,84046,2.459958,84313,2.335319,5.199578e-02,0.606035,2.056630e-01,EXPECTED
