START,n_geom,C_avg,Cpred_avg,Lambda_avg
13PR27D2,412844,4.028104,4.030544,-6.056001e-04
13PR14,427861,4.019928,4.030419,-2.606551e-03
13PR29D2,442878,4.020104,4.030381,-2.553353e-03
13PR15,457895,4.019759,4.030293,-2.616934e-03
13PR31D2,472912,4.023432,4.030182,-1.676202e-03
13PR16,487929,4.024909,4.030130,-1.296475e-03
13PR33D2,502946,4.018886,4.030027,-2.768277e-03
17PR,517963,4.023058,4.029992,-1.722066e-03
13PR35D2,532979,4.025258,4.029879,-1.147418e-03
13PR18,547996,4.024553,4.029850,-1.315255e-03
13PR37D2,563012,4.024540,4.029753,-1.294440e-03
13PR19,578028,4.025788,4.029727,-9.780157e-04
13PR39D2,593044,4.030078,4.029645,1.073268e-04
13PR20,608061,4.028766,4.029574,-2.004850e-04
13PR41D2,623077,4.029579,4.029515,1.571293e-05
13PR21,638093,4.023799,4.029484,-1.411918e-03
13PR43D2,653109,4.020593,4.029409,-2.190444e-03
13PR22,668125,4.018334,4.029340,-2.735122e-03
13PR45D2,683141,4.022226,4.029284,-1.753259e-03
13PR23,698157,4.020029,4.029285,-2.299824e-03
13PR47D2,713172,4.015841,4.029203,-3.322004e-03
13PR24,728188,4.018742,4.029155,-2.587690e-03
13PR49D2,743204,4.023585,4.029103,-1.370334e-03
13PR25,758220,4.023248,4.029051,-1.441318e-03
17PR3D2,773236,4.024490,4.029018,-1.124375e-03
13PR26,788251,4.027030,4.028950,-4.766481e-04
13PR53D2,803267,4.027693,4.028932,-3.076566e-04
13PR27,818283,4.027196,4.028895,-4.219019e-04
13PR55D2,833298,4.025062,4.028863,-9.439350e-04
13PR28,848314,4.026855,4.028775,-4.767203e-04
13PR57D2,863329,4.025773,4.028752,-7.397151e-04
13PR29,878345,4.023344,4.028712,-1.333390e-03
13PR59D2,893360,4.022435,4.028729,-1.563423e-03
13PR30,908376,4.022216,4.028630,-1.593275e-03
13PR61D2,923391,4.025072,4.028623,-8.818340e-04
13PR31,938407,4.026097,4.028549,-6.088553e-04
13PR63D2,953422,4.022507,4.028530,-1.496117e-03
13PR32,968438,4.024792,4.028530,-9.284572e-04
13PR65D2,983453,4.025200,4.028468,-8.115017e-04
13PR33,998469,4.025667,4.028418,-6.831935e-04
13PR67D2,1013484,4.027719,4.028380,-1.640724e-04
17PR2,1028500,4.024783,4.028398,-8.977531e-04
13PR69D2,1043515,4.023623,4.028330,-1.169174e-03
13PR35,1058530,4.020838,4.028308,-1.856140e-03
13PR71D2,1073546,4.021203,4.028262,-1.753822e-03
13PR36,1088561,4.022840,4.028253,-1.344506e-03
13PR73D2,1103576,4.022307,4.028231,-1.471799e-03
13PR37,1118592,4.023773,4.028143,-1.085309e-03
13PR75D2,1133607,4.024538,4.028163,-9.003778e-04
13PR38,1148622,4.022717,4.028145,-1.348397e-03
13PR77D2,1163638,4.021827,4.028108,-1.560352e-03
13PR39,1178653,4.019398,4.028056,-2.151814e-03
13PR79D2,1193668,4.020169,4.028043,-1.956691e-03
13PR40,1208684,4.020610,4.028019,-1.841209e-03
13PR81D2,1223699,4.021088,4.028002,-1.717886e-03
13PR41,1238714,4.021250,4.027949,-1.664579e-03
13PR83D2,1253730,4.023800,4.027952,-1.031266e-03
13PR42,1268745,4.024418,4.027870,-8.574979e-04
17PR5D2,1283760,4.027075,4.027909,-2.070241e-04
13PR43,1298775,4.027418,4.027835,-1.034771e-04
13PR87D2,1313791,4.025451,4.027884,-6.040802e-04
13PR44,1328806,4.024633,4.027798,-7.862190e-04
13PR89D2,1343821,4.027267,4.027784,-1.282711e-04
