START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(13#)33/2,498436,2.527659,510481,2.514714,5.134586e-03
(17#),515611,2.539315,524288,2.516239,9.128937e-03
(13#)35/2,535858,2.540830,540539,2.517976,9.035417e-03
(13#)18,548461,2.531963,555523,2.519508,4.931282e-03
(13#)37/2,569077,2.543991,570569,2.520990,9.082495e-03
(13#)19,571262,2.550486,585581,2.522415,1.106699e-02
(13#)39/2,588338,2.563074,600577,2.523788,1.544638e-02
(13#)20,612022,2.551653,615607,2.525117,1.045390e-02
(13#)41/2,621472,2.552996,630613,2.526399,1.047278e-02
(13#)21,633967,2.541689,645641,2.527641,5.542526e-03
(13#)43/2,656629,2.539026,660659,2.528842,4.019075e-03
(13#)22,674719,2.554681,675643,2.530003,9.706881e-03
(13#)45/2,686398,2.527108,690689,2.531132,-1.591181e-03
(13#)23,703568,2.559020,705689,2.532225,1.052588e-02
(13#)47/2,713309,2.554701,720703,2.533286,8.417749e-03
(13#)24,733528,2.558252,735733,2.534318,9.399534e-03
(13#)49/2,748691,2.568782,750749,2.535320,1.311189e-02
(13#)25,758411,2.555201,765763,2.536295,7.426665e-03
(17#)3/2,770558,2.532269,780733,2.537239,-1.960789e-03
(13#)26,787162,2.561586,795793,2.538164,9.185441e-03
(13#)53/2,804191,2.552045,810809,2.539062,5.100207e-03
(13#)27,819212,2.562766,825821,2.539937,8.947862e-03
(13#)55/2,831373,2.564720,840839,2.540791,9.374037e-03
(13#)28,850253,2.564273,855851,2.541622,8.872528e-03
(13#)57/2,860422,2.564422,870853,2.542433,8.611532e-03
(13#)29,883648,2.566164,885883,2.543227,8.978443e-03
(13#)59/2,891427,2.564719,900869,2.543998,8.111974e-03
(13#)30,909037,2.548728,915911,2.544756,1.559627e-03
(13#)61/2,915961,2.547074,930911,2.545493,6.209088e-04
(13#)31,944161,2.565326,945943,2.546217,7.477015e-03
(13#)63/2,957844,2.549019,960941,2.546921,8.233728e-04
