START,n_geom,C_avg,Cpred_avg,Lambda_avg
(7#)54,11392,4.001539,4.043657,-1.047057e-02
(7#)109/2,11497,3.971368,4.039288,-1.695789e-02
(11#)5,11602,4.004036,4.044009,-9.933808e-03
(7#)111/2,11707,3.996074,4.047536,-1.279587e-02
(7#)56,11812,3.976595,4.040632,-1.597506e-02
(7#)113/2,11917,3.981940,4.041349,-1.480960e-02
(7#)57,12022,4.002692,4.041285,-9.595614e-03
(7#)115/2,12127,4.044790,4.048324,-8.733432e-04
(7#)58,12232,4.019047,4.044163,-6.229682e-03
(7#)117/2,12337,4.042544,4.043656,-2.751057e-04
(7#)59,12442,4.009926,4.040553,-7.608787e-03
(7#)119/2,12547,4.017812,4.050774,-8.170405e-03
(7#)60,12652,3.944461,4.033875,-2.241501e-02
(11#)11/2,12757,3.949004,4.047846,-2.472154e-02
(7#)61,12862,3.934691,4.043448,-2.726545e-02
(7#)123/2,12967,3.968793,4.038794,-1.748391e-02
(7#)62,13072,3.980025,4.048149,-1.697160e-02
(7#)125/2,13177,3.977088,4.042286,-1.626050e-02
(7#)63,13282,3.958165,4.040990,-2.070924e-02
(7#)127/2,13387,3.984332,4.041340,-1.420669e-02
(7#)64,13492,4.007290,4.044170,-9.161159e-03
(7#)129/2,13597,3.987941,4.035129,-1.176305e-02
(7#)65,13702,3.991798,4.050842,-1.468291e-02
(7#)131/2,13807,3.982027,4.039977,-1.444805e-02
(11#)6,13912,3.985947,4.044504,-1.458415e-02
(7#)133/2,14017,3.956587,4.043849,-2.181533e-02
(7#)67,14122,3.976917,4.041582,-1.612936e-02
(7#)135/2,14227,3.967667,4.042103,-1.858704e-02
(7#)68,14332,3.989706,4.043702,-1.344301e-02
(7#)137/2,14437,3.994566,4.042369,-1.189581e-02
(7#)69,14542,4.003207,4.042229,-9.700513e-03
(7#)139/2,14647,4.007548,4.042725,-8.739472e-03
(7#)70,14752,4.017751,4.038427,-5.133035e-03
(7#)141/2,14857,4.036712,4.044515,-1.931247e-03
(7#)71,14962,4.021344,4.036072,-3.655620e-03
(13#)/2,15581,4.022986,4.042552,-4.851638e-03
(11#)7,16737,4.017232,4.041462,-6.013429e-03
(11#)15/2,17893,4.009270,4.041474,-8.000233e-03
(11#)8,19048,3.999206,4.040728,-1.032898e-02
(11#)17/2,20204,3.982392,4.041172,-1.465218e-02
(11#)9,21359,3.983191,4.040666,-1.432614e-02
(11#)19/2,22515,4.019335,4.040178,-5.172187e-03
(11#)10,23670,4.027253,4.040337,-3.243794e-03
(11#)21/2,24825,4.024633,4.039773,-3.754631e-03
(11#)11,25981,4.000939,4.039897,-9.690104e-03
(11#)23/2,27136,4.000845,4.039499,-9.615145e-03
(11#)12,28291,4.029672,4.039487,-2.432698e-03
(11#)25/2,29446,4.023199,4.038615,-3.824373e-03
(13#),30602,4.005681,4.039605,-8.433411e-03
(11#)27/2,31757,3.986567,4.039123,-1.309725e-02
(11#)14,32912,4.000521,4.038222,-9.379743e-03
(11#)29/2,34067,4.007956,4.038858,-7.680683e-03
(11#)15,35222,4.012041,4.038535,-6.581884e-03
(11#)31/2,36377,4.001639,4.038255,-9.108633e-03
(11#)16,37533,4.012229,4.038301,-6.477113e-03
(11#)33/2,38688,4.042901,4.037586,1.315422e-03
(11#)17,39843,4.043836,4.038197,1.395234e-03
(11#)35/2,40998,4.028247,4.037994,-2.416553e-03
(11#)18,42153,4.022976,4.037703,-3.654145e-03
