START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
(7#)70,14779,2.470069,14797,0.884970,1.026448e+00,11.590518,1.097381e+01
(7#)141/2,14831,2.313924,14897,0.893306,9.517709e-01,11.590518,9.887684e+00
(7#)71,14951,2.398094,15013,0.901297,9.785947e-01,11.590518,1.048209e+01
(13#)/2,15784,2.297078,16141,0.908685,9.273947e-01,11.590518,1.029773e+01
(11#)7,17218,2.342733,16384,0.991581,8.597728e-01,11.590518,1.014108e+01
(11#)15/2,18322,2.313856,18461,1.063366,7.774760e-01,11.590518,1.031995e+01
(11#)8,18637,2.262025,19609,1.128659,6.952302e-01,11.590518,9.814085e+00
(11#)17/2,20509,2.288028,20789,1.180180,6.620233e-01,12.177555,9.566664e+00
(11#)9,20816,2.279925,21943,1.227735,6.189715e-01,12.712769,9.087613e+00
(11#)19/2,22354,2.333078,23099,1.274932,6.042956e-01,12.712769,9.522451e+00
(11#)10,23201,2.282149,24251,1.318601,5.485462e-01,12.712769,9.016040e+00
(11#)21/2,24256,2.336632,25409,1.360534,5.408333e-01,12.712769,9.481785e+00
(11#)11,25496,2.309603,26561,1.395439,5.038666e-01,12.712769,9.202139e+00
(11#)23/2,27182,2.331847,27701,1.424730,4.926783e-01,13.356646,8.989716e+00
(11#)12,27904,2.328254,28871,1.456885,4.688180e-01,13.356646,8.927821e+00
(11#)25/2,29738,2.340355,30029,1.481589,4.571875e-01,13.943683,8.699569e+00
(13#),30332,2.331433,31183,1.509209,4.348974e-01,13.943683,8.586554e+00
(11#)27/2,31294,2.341935,32327,1.535310,4.222452e-01,13.943683,8.672191e+00
