START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
(11#)7/2,8116,2.236375,8179,2.671014,8085,9.49404748,8085,9.49598970,8137,3.953392684,4.049983648,1.889036,1.889036,1.858945
(7#)39,8224,2.292547,8192,2.670682,8190,9.19979531,8190,9.32316868,8242,3.956252054,4.047956873,1.895240,1.895240,1.865201
(7#)79/2,8311,2.234912,8389,2.670927,8295,8.67819577,8295,8.65701829,8347,3.967198155,4.046733233,1.901773,1.901773,1.871771
(7#)40,8429,2.249292,8501,2.670873,8400,8.39818911,8400,8.54588363,8452,4.005787699,4.043483885,1.908343,1.908343,1.878383
(7#)81/2,8599,2.329117,8609,2.670822,8505,8.54937189,8580,8.63195161,8557,3.959131350,4.040908984,1.914307,1.914307,1.884396
(7#)41,8614,2.287560,8713,2.670774,8610,8.81029329,8610,8.76475917,8662,4.000404972,4.047353914,1.920467,1.920467,1.890618
(7#)83/2,8777,2.179478,8819,2.670711,8715,8.50173807,8715,8.65094459,8767,4.001008602,4.045441546,1.925744,1.925744,1.895938
(7#)42,8839,2.279660,8923,2.670664,8820,8.72119273,8820,8.54530676,8872,4.004900535,4.041994366,1.931256,1.931256,1.901481
(7#)85/2,9014,2.281605,9029,2.670632,8925,9.64346441,8925,9.11489376,8977,4.002710432,4.049617584,1.936966,1.936966,1.907232
(7#)43,9091,2.412999,9133,2.670587,9030,8.34206329,9030,8.75349434,9082,3.981217473,4.041700401,1.942758,1.942758,1.913072
(7#)87/2,9173,2.323530,9239,2.670527,9135,8.48656720,9135,8.86137132,9187,4.001247760,4.042173423,1.947625,1.947625,1.917980
(11#)4,9283,2.301998,9343,2.670483,9240,9.63749652,9240,9.49418124,9292,4.012813331,4.047586891,1.952802,1.952802,1.923198
(7#)89/2,9349,2.396602,9439,2.670444,9345,8.48036675,9345,8.64288941,9397,4.007555190,4.046214200,1.958076,1.958076,1.928511
(7#)45,9511,2.294051,9551,2.670398,9450,8.61855486,9450,8.54454716,9502,3.954109250,4.041113500,1.963431,1.963431,1.933911
(7#)91/2,9649,2.163663,9649,2.670372,9555,9.35414843,9555,9.32113413,9607,3.959602402,4.048397731,1.968707,1.968707,1.939225
(7#)46,9748,2.284701,9749,2.670332,9660,8.92495168,9660,8.95111839,9712,3.979256928,4.041817941,1.972730,1.972730,1.943286
(7#)93/2,9817,2.375649,9829,2.670300,9765,8.57412318,9765,8.83879237,9817,4.001682188,4.050942858,1.977519,1.977519,1.948122
(7#)47,9941,2.284239,9973,2.670244,9870,8.74177224,9870,8.73391281,9922,3.985420147,4.036512577,1.982138,1.982138,1.952779
(7#)95/2,10078,2.360845,10079,2.670190,9975,9.24857451,9975,9.04646099,10027,3.995647101,4.049083220,1.987493,1.987493,1.958166
(7#)48,10174,2.343381,10181,2.670165,10080,8.32911566,10080,8.54376264,10132,3.973714842,4.041625442,1.991639,1.991639,1.962360
(7#)97/2,10273,2.292671,10289,2.670125,10185,8.32950717,10185,8.63361722,10237,3.994392599,4.043750199,1.995936,1.995936,1.966681
(7#)49,10369,2.243034,10391,2.670075,10290,8.59384526,10290,8.54356903,10342,4.024021069,4.041033612,2.000392,2.000392,1.971177
(11#)9/2,10462,2.194423,10499,2.670035,10395,9.44835638,10395,9.49267980,10447,4.027246934,4.049151973,2.004357,2.004357,1.975187
(7#)50,10501,2.449522,10601,2.670011,10500,8.52416040,10500,8.54330046,10552,4.035724963,4.043083249,2.008438,2.008438,1.979292
(7#)101/2,10687,2.319381,10709,2.669973,10605,8.84761592,10605,8.62952079,10657,4.053753666,4.040995016,2.012590,2.012590,1.983486
(7#)51,10786,2.430362,10799,2.669930,10710,8.90730621,10710,9.11265762,10762,4.070227225,4.048454954,2.016602,2.016602,1.987532
(7#)103/2,10883,2.318296,10909,2.669903,10815,8.64871912,10815,8.62755052,10867,4.004331436,4.039095383,2.021145,2.021145,1.992118
(7#)52,11023,2.452351,11003,2.669860,10920,9.43768576,10920,9.31948435,10972,4.036042472,4.050093678,2.025101,2.025101,1.996096
