START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
11PR73,169260,10.177347,169575,10.145059,3.177631e-03
11PR147/2,169785,10.020776,169785,9.980622,4.015155e-03
11PR74,170940,10.255622,170940,10.265418,-9.546349e-04
11PR149/2,172095,10.042138,172095,10.047812,-5.649282e-04
11PR75,173250,9.950756,173250,9.979572,-2.891657e-03
11PR151/2,174405,9.992854,174405,10.046206,-5.324856e-03
11PR76,175560,10.527935,175560,10.565880,-3.597716e-03
11PR153/2,176715,10.576471,176715,10.643787,-6.344595e-03
11PR77,177870,10.011144,177870,9.978210,3.295105e-03
11PR155/2,179025,10.409701,179025,10.321943,8.466092e-03
13PR6,180180,10.885586,180180,10.884592,9.136995e-05
11PR157/2,181545,10.369790,181545,10.371988,-2.118815e-04
11PR79,182490,10.040797,182490,10.106454,-6.517708e-03
11PR159/2,183645,10.125996,183645,10.172179,-4.550544e-03
11PR80,185640,10.405508,185640,10.447648,-4.041592e-03
11PR161/2,185955,10.427320,185955,10.450958,-2.264352e-03
11PR81,187110,9.941998,187110,9.975591,-3.373232e-03
11PR163/2,188370,10.236752,188370,10.260258,-2.293651e-03
11PR82,189420,10.217406,189420,10.230725,-1.302765e-03
11PR165/2,190575,9.897821,190575,9.974718,-7.739075e-03
11PR83,192465,10.003140,191730,10.097543,-9.393099e-03
11PR167/2,193830,9.922684,192885,10.034544,-1.121009e-02
11PR84,194040,9.964262,194040,9.973783,-9.551178e-04
13PR13/2,195195,10.749247,195195,10.880159,-1.210513e-02
11PR85,196350,10.670474,196350,10.638050,3.043294e-03
11PR171/2,197505,10.509391,197505,10.559511,-4.757671e-03
11PR86,198660,10.183140,198660,10.215800,-3.202212e-03
11PR173/2,199815,9.946846,199815,10.030588,-8.383653e-03
11PR87,200970,10.346999,200970,10.341302,5.507364e-04
11PR175/2,202125,10.036716,202125,9.971677,6.501159e-03
11PR88,203490,10.033297,203490,10.135573,-1.014207e-02
11PR177/2,204435,10.133796,204435,10.146090,-1.212463e-03
11PR89,205590,9.991142,205590,10.085471,-9.397042e-03
11PR179/2,207480,10.362647,207480,10.364916,-2.189143e-04
11PR90,208845,10.421148,208845,10.441354,-1.937085e-03
11PR181/2,209055,9.942912,209055,10.025702,-8.292082e-03
13PR7,210210,10.785841,210210,10.876054,-8.329285e-03
