START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
11PR35,81749,2.460417,82003,2.664010,-7.950166e-02
11PR71/2,82252,2.460452,83137,2.663980,-7.947617e-02
11PR36,84046,2.459958,84313,2.663948,-7.966496e-02
11PR73/2,84562,2.471941,85469,2.663916,-7.479355e-02
11PR37,86248,2.426071,86599,2.663885,-9.351251e-02
11PR75/2,87316,2.472748,87767,2.663855,-7.444424e-02
11PR38,88498,2.433762,88919,2.663825,-9.032485e-02
11PR77/2,89459,2.383150,90089,2.663797,-1.113294e-01
13PR3,90526,2.492321,91243,2.663767,-6.652688e-02
11PR79/2,92357,2.434532,92399,2.663739,-8.997623e-02
11PR40,92656,2.473194,93553,2.663712,-7.421021e-02
11PR81/2,94228,2.450231,94709,2.663685,-8.352820e-02
11PR41,95467,2.446013,95857,2.663658,-8.524101e-02
11PR83/2,96361,2.470995,97007,2.663631,-7.506933e-02
11PR42,97684,2.508166,98143,2.663605,-6.012866e-02
11PR85/2,98764,2.453349,99317,2.663579,-8.221668e-02
11PR43,99581,2.468655,100483,2.663553,-7.598748e-02
11PR87/2,101467,2.483060,101627,2.663528,-7.015989e-02
11PR44,102352,2.491281,102793,2.663504,-6.684551e-02
11PR89/2,103214,2.468903,103919,2.663479,-7.585924e-02
11PR45,104056,2.467765,105097,2.663455,-7.631127e-02
13PR7/2,105883,2.452749,106243,2.663430,-8.240533e-02
11PR46,106298,2.480088,107377,2.663408,-7.131246e-02
11PR93/2,107684,2.498534,108557,2.663385,-6.389371e-02
11PR47,109717,2.499467,109721,2.663361,-6.351135e-02
11PR95/2,110281,2.415536,110879,2.663338,-9.765901e-02
11PR48,111058,2.464714,112031,2.663315,-7.749581e-02
11PR97/2,112681,2.478536,113189,2.663294,-7.189564e-02
11PR49,113389,2.460935,114343,2.663271,-7.901371e-02
11PR99/2,115426,2.500222,115499,2.663250,-6.316765e-02
11PR50,116371,2.460027,116639,2.663229,-7.936697e-02
11PR101/2,116728,2.402456,117809,2.663208,-1.030399e-01
11PR51,118894,2.444233,118931,2.663187,-8.579215e-02
11PR103/2,119458,2.462122,120103,2.663166,-7.849206e-02
13PR4,121234,2.463828,121271,2.663146,-7.779189e-02
11PR105/2,121612,2.502568,122401,2.663127,-6.218359e-02
11PR53,123059,2.504951,123583,2.663106,-6.122394e-02
11PR107/2,124447,2.517146,124739,2.663086,-5.635988e-02
11PR54,125479,2.491172,125887,2.663067,-6.672518e-02
11PR109/2,126397,2.546025,127037,2.663048,-4.493801e-02
11PR55,127189,2.428594,128203,2.663028,-9.215133e-02
11PR111/2,129263,2.490514,129347,2.663010,-6.696795e-02
11PR56,130307,2.503745,130513,2.662992,-6.166269e-02
11PR113/2,131641,2.512217,131072,2.662962,-5.827341e-02
11PR57,131888,2.478781,132817,2.662955,-7.166950e-02
11PR115/2,133174,2.475614,133979,2.662936,-7.294083e-02
11PR58,134087,2.503206,135131,2.662918,-6.185020e-02
13PR9/2,135802,2.501586,136277,2.662901,-6.249120e-02
11PR59,136649,2.492808,137443,2.662883,-6.599958e-02
11PR119/2,137587,2.515309,138599,2.662866,-5.700733e-02
11PR60,139511,2.466330,139753,2.662849,-7.666539e-02
11PR121/2,140009,2.495139,140909,2.662832,-6.504578e-02
11PR61,141676,2.498497,142061,2.662815,-6.369448e-02
11PR123/2,142258,2.505830,143197,2.662799,-6.075781e-02
11PR62,143896,2.509536,144349,2.662783,-5.927394e-02
11PR125/2,145144,2.491578,145517,2.662766,-6.644919e-02
11PR63,146176,2.504029,146683,2.662749,-6.145801e-02
11PR127/2,147401,2.521313,147827,2.662733,-5.457324e-02
11PR64,148696,2.533538,148991,2.662717,-4.973029e-02
11PR129/2,149846,2.509766,150131,2.662702,-5.915187e-02
13PR5,150292,2.507348,151303,2.662686,-6.010977e-02
11PR131/2,151909,2.518866,152459,2.662670,-5.552058e-02
11PR66,152914,2.505061,153611,2.662655,-6.101066e-02
11PR133/2,154702,2.506776,154769,2.662640,-6.032065e-02
11PR67,155816,2.502854,155921,2.662625,-6.188080e-02
11PR135/2,156007,2.496651,157061,2.662611,-6.435699e-02
11PR68,157901,2.486203,158233,2.662595,-6.854456e-02
11PR137/2,158419,2.533724,159389,2.662581,-4.960580e-02
11PR69,159407,2.542242,160541,2.662566,-4.624395e-02
11PR139/2,161659,2.491347,161683,2.662551,-6.646116e-02
11PR70,162353,2.507294,162853,2.662538,-6.007572e-02
11PR141/2,163297,2.519915,163997,2.662523,-5.504900e-02
11PR71,164954,2.477786,165161,2.662509,-7.190349e-02
13PR11/2,165701,2.520785,166319,2.662495,-5.469329e-02
11PR72,166351,2.526473,167471,2.662481,-5.243414e-02
11PR145/2,167809,2.490909,168629,2.662468,-6.660581e-02
11PR73,168814,2.509419,169783,2.662454,-5.919700e-02
11PR147/2,170539,2.495056,170927,2.662440,-6.493182e-02
11PR74,171694,2.497959,172093,2.662427,-6.376411e-02
11PR149/2,172849,2.504239,173249,2.662414,-6.124833e-02
11PR75,174214,2.457750,174389,2.662401,-7.998205e-02
11PR151/2,174814,2.514062,175543,2.662387,-5.732332e-02
11PR76,176551,2.496728,176713,2.662375,-6.423751e-02
11PR153/2,177841,2.524335,177841,2.662362,-5.323604e-02
11PR77,178898,2.502055,179021,2.662349,-6.209642e-02
