START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
11PR85,196736,1.740119,197479,2.640680,196350,10.75175688,196350,10.01497162,196926,3.919564274,4.000439085,0.000000,0.000000,0.000000
11PR171/2,198593,1.534679,198491,2.640680,197505,10.31041113,197505,9.94133215,198081,3.904481865,4.000289866,0.000000,0.000000,0.000000
11PR86,199193,1.530998,199813,2.640680,199290,9.18376798,198660,9.61803669,199236,3.954750099,3.999926430,0.000000,0.000000,0.000000
11PR173/2,200443,1.618472,200807,2.640679,199920,10.01776272,199815,9.44394249,200391,3.916904233,3.999699953,0.000000,0.000000,0.000000
11PR87,201766,1.514750,202121,2.640679,201810,9.46452438,200970,9.73677781,201546,3.817955598,4.000485618,0.000000,0.000000,0.000000
11PR175/2,203023,1.506731,203117,2.640679,202125,9.45195262,202125,9.38903577,202701,3.845008171,3.999788764,0.000000,0.000000,0.000000
11PR88,203821,1.595892,204431,2.640679,203490,9.39986326,203490,9.54367864,203856,3.919254600,3.999925671,0.000000,0.000000,0.000000
11PR177/2,204691,1.683543,205427,2.640679,204435,10.11183746,204435,9.55375562,205011,4.031211570,4.000258516,0.000000,0.000000,0.000000
11PR89,205684,1.677010,206699,2.640679,206115,10.41560588,205590,9.49695555,206166,4.072998783,4.000206044,0.000000,0.000000,0.000000
11PR179/2,207472,1.849861,207743,2.640679,207570,10.35363031,207480,9.76058029,207321,4.262347957,3.999798972,0.000000,0.000000,0.000000
11PR90,207931,1.661886,209039,2.640679,207900,10.98664807,208845,9.83288085,208476,4.307303780,3.999862081,0.000000,0.000000,0.000000
11PR181/2,209518,1.651241,210053,2.640679,209160,9.82798556,209055,9.44148827,209631,4.141401993,3.999738178,0.000000,0.000000,0.000000
13PR7,210802,1.825388,211349,2.640679,210210,10.61139749,210210,10.24258414,210786,4.101450223,4.000414780,0.000000,0.000000,0.000000
11PR183/2,212302,1.814278,212507,2.640679,211470,9.73833954,211365,9.54817168,211941,4.023111988,4.000071464,0.000000,0.000000,0.000000
11PR92,213607,1.444165,213659,2.640679,212520,9.33665036,212520,9.83613232,213096,3.835538147,4.000066956,0.000000,0.000000,0.000000
11PR185/2,214411,1.349477,214817,2.640678,214305,8.73112662,213675,9.65729358,214251,3.743609281,3.999822436,0.000000,0.000000,0.000000
11PR93,215564,1.701688,215983,2.640678,215460,9.14008671,214830,9.71279517,215406,3.729899554,4.000005692,0.000000,0.000000,0.000000
11PR187/2,216803,1.604578,217121,2.640678,215985,9.65861929,215985,10.01497104,216561,3.934523092,4.000025665,0.000000,0.000000,0.000000
11PR94,217163,1.335145,218287,2.640678,217875,10.11969816,217140,9.59768049,217716,3.939096455,4.000183677,0.000000,0.000000,0.000000
11PR189/2,219386,1.677181,219437,2.640678,219240,9.71461502,218295,9.38903529,218871,3.985254774,3.999800198,0.000000,0.000000,0.000000
11PR95,219701,1.498799,220589,2.640678,219765,10.57717865,219450,9.94133138,220026,4.099686434,4.000380639,0.000000,0.000000,0.000000
11PR191/2,220852,1.580026,221747,2.640678,220605,9.66516256,220605,9.43871266,221181,4.081234908,3.999790583,0.000000,0.000000,0.000000
11PR96,221818,1.661763,222773,2.640678,221760,10.31998522,221760,9.38903521,222336,4.135298680,4.000077956,0.000000,0.000000,0.000000
11PR193/2,223556,1.650533,224069,2.640678,222915,10.44947725,223860,9.45469271,223491,3.997846446,4.000296051,0.000000,0.000000,0.000000
11PR97,224377,1.645862,225061,2.640678,224595,10.21162492,224070,9.48786709,224646,3.977895741,3.999591654,0.000000,0.000000,0.000000
13PR15/2,225304,1.553632,226379,2.640678,225225,12.00021920,225225,10.24258374,225801,4.066303859,4.000033095,0.000000,0.000000,0.000000
11PR98,226874,1.630675,227371,2.640678,226380,10.65959442,226380,9.38903508,226956,4.179661807,4.000225343,0.000000,0.000000,0.000000
11PR197/2,228322,1.792552,228677,2.640678,227535,10.01517954,227535,9.43718393,228111,4.173082931,4.000103751,0.000000,0.000000,0.000000
11PR99,229709,1.868233,229681,2.640678,228690,9.63195346,228690,9.38903502,229266,4.064175787,4.000127128,0.000000,0.000000,0.000000
11PR199/2,230642,1.777551,230999,2.640678,230685,9.81642400,229845,9.43669504,230421,3.991831411,4.000015683,0.000000,0.000000,0.000000
11PR100,232093,1.515489,232003,2.640677,231420,9.79159659,232050,9.83288020,231576,4.011697749,3.999819112,0.000000,0.000000,0.000000
11PR201/2,232436,1.597862,233297,2.640677,232155,9.59586383,232155,9.53348160,232731,3.851674705,3.999978370,0.000000,0.000000,0.000000
11PR101,233978,1.421798,234317,2.640677,233415,10.30567803,233415,9.76057958,233886,3.643008715,3.999956651,0.000000,0.000000,0.000000
11PR203/2,235573,1.496850,235607,2.640677,234465,9.43330962,234465,9.73677687,235041,3.660164151,3.999870258,0.000000,0.000000,0.000000
11PR102,236057,1.411094,236773,2.640677,235620,9.06208984,235620,10.01497049,236196,3.720311112,4.000018783,0.000000,0.000000,0.000000
11PR205/2,237052,1.489059,237929,2.640677,237510,9.66102941,236775,9.62977926,237351,3.825587062,4.000395787,0.000000,0.000000,0.000000
11PR103,238837,1.561880,239081,2.640677,237930,9.64818823,237930,9.48199551,238506,3.897261757,3.999836451,0.000000,0.000000,0.000000
11PR207/2,239809,1.720045,240209,2.640677,239085,10.51263373,239085,9.83613162,239661,3.936233446,3.999702002,0.000000,0.000000,0.000000
13PR8,240301,1.799187,241393,2.640677,240240,10.71575646,240240,10.24258332,240816,4.039452717,4.000098264,0.000000,0.000000,0.000000
11PR209/2,242321,1.867591,242533,2.640677,241920,10.08203979,241395,9.94133082,241971,4.103827333,4.000598090,0.000000,0.000000,0.000000
11PR105,243094,1.700678,243703,2.640677,243390,9.87166954,242550,9.38903465,243126,4.099976873,3.999693432,0.000000,0.000000,0.000000
11PR211/2,244744,1.852001,244859,2.640677,244530,10.15493792,243705,9.43395822,244281,4.133798872,4.000208090,0.000000,0.000000,0.000000
