START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(11#)99,229234,2.690065,229841,2.802736,229425,9.90284609,228690,9.96549636,229266,4.228603678,4.245682189,151.798672,2.702082
(11#)199/2,230189,2.704611,230999,2.802663,229845,9.97545370,229845,10.01582432,230421,4.226421015,4.245453574,152.131315,2.702212
(11#)100,231271,2.703240,232153,2.802608,232050,10.43149651,232050,10.43586244,231576,4.222406232,4.245135208,152.461901,2.702358
(11#)201/2,232489,2.699251,233297,2.802536,232155,10.11493979,232155,10.11808815,232731,4.225522432,4.245195064,152.788736,2.702484
(11#)101,233528,2.712781,234463,2.802464,233415,10.34742882,233415,10.35882774,233886,4.224211653,4.245063421,153.120954,2.702613
(11#)203/2,234712,2.693448,235607,2.802393,234465,10.33206962,234465,10.33332079,235041,4.226742532,4.244863711,153.446025,2.702738
(11#)102,236086,2.708888,236773,2.802322,235620,10.58649190,235620,10.62828595,236196,4.229719921,4.244938742,153.776460,2.702864
(11#)205/2,237602,2.712472,237929,2.802251,236775,10.18895868,236775,10.21924999,237351,4.229887388,4.245231792,154.103182,2.702988
(11#)103,238892,2.687289,239081,2.802198,237930,10.11123945,237930,10.06216451,238506,4.233052436,4.244531739,154.427911,2.703128
(11#)207/2,239566,2.669376,240209,2.802129,239085,10.34038662,239085,10.43777092,239661,4.230298900,4.244283137,154.745045,2.703247
(13#)8,241036,2.687643,241393,2.802058,240240,10.82791100,240240,10.86881039,240816,4.231411296,4.244598230,155.077047,2.703371
(11#)209/2,241954,2.717299,242533,2.801990,241395,10.52272398,241395,10.54888057,241971,4.233548528,4.245023732,155.395870,2.703490
(11#)105,242779,2.704457,243703,2.801920,242550,9.95045165,242550,9.96258359,243126,4.227284670,4.243983665,155.722231,2.703611
(11#)211/2,243994,2.700730,244859,2.801852,243705,9.91842718,243705,10.01000823,244281,4.228235308,4.244425836,156.043845,2.703730
(11#)106,245486,2.696998,246011,2.801799,244860,10.11496421,244860,10.15743117,245436,4.231514788,4.244548456,156.363520,2.703863
(11#)213/2,246724,2.705664,247141,2.801733,246015,10.03481961,246015,10.10628799,246591,4.228946362,4.243628110,156.676296,2.703977
(11#)107,247868,2.717640,248323,2.801664,247170,9.97914753,247170,10.05654211,247746,4.230500309,4.243642783,157.002628,2.704096
(11#)215/2,249061,2.717889,249463,2.801597,248325,10.21559797,248325,10.20439328,248901,4.232149531,4.243703693,157.316560,2.704209
(11#)108,249811,2.723430,250619,2.801531,249795,9.95916415,249480,9.96119057,250056,4.232508422,4.243910289,157.634097,2.704324
(11#)217/2,251194,2.723166,251789,2.801463,250635,10.35035227,250635,10.30443660,251211,4.233146899,4.244265454,157.954664,2.704439
(11#)109,252664,2.704928,252937,2.801413,252525,10.06030949,252525,10.05891654,252366,4.228686598,4.242756696,158.268412,2.704566
(11#)219/2,253321,2.678193,254083,2.801347,253890,10.04418544,253890,10.11645269,253521,4.232322171,4.243875198,158.580837,2.704677
